Time (sec)	Arena	Track	Pos. X (mm)	Pos. Y (mm)	Label
275.18	2	1	1377.92	189.499	1
275.214	2	1	1377.78	190.284	1
275.247	2	1	1377.68	190.747	1
275.281	2	1	1377.71	191.59	1
275.314	2	1	1378.02	192.096	1
275.348	2	1	1377.86	192.199	1
275.381	2	1	1377.52	192.534	1
275.415	2	1	1377.95	192.336	1
275.448	2	1	1378.42	192.101	1
275.482	2	1	1378.56	192.273	1
275.515	2	1	1378.58	192.348	1
275.549	2	1	1378.14	192.767	1
275.582	2	1	1378	192.871	1
275.616	2	1	1377.9	192.958	1
275.649	2	1	1377.81	193.012	1
275.683	2	1	1377.7	193.311	1
275.716	2	1	1377.69	193.293	1
275.75	2	1	1377.96	193.6	1
275.783	2	1	1377.84	193.693	1
275.817	2	1	1377.81	193.645	1
275.85	2	1	1377.74	193.166	1
275.884	2	1	1377.77	193.124	1
275.917	2	1	1377.82	193.183	1
275.951	2	1	1377.78	193.356	1
275.984	2	1	1377.75	193.786	1
276.018	2	1	1377.8	194.05	1
276.051	2	1	1377.87	194.028	1
276.085	2	1	1377.86	194.058	1
276.118	2	1	1377.84	194.323	1
276.152	2	1	1377.64	193.977	1
276.185	2	1	1377.55	193.772	1
276.219	2	1	1377.45	193.858	1
276.252	2	1	1377.34	193.829	1
276.286	2	1	1377.23	193.843	1
276.319	2	1	1376.99	193.973	1
276.353	2	1	1376.65	193.913	1
276.386	2	1	1376.46	194.15	1
276.42	2	1	1376.48	193.93	1
276.453	2	1	1376.41	194.04	1
276.487	2	1	1376.25	194.439	1
276.52	2	1	1376.19	194.808	1
276.554	2	1	1376.11	195.012	1
276.587	2	1	1375.99	194.986	1
276.621	2	1	1375.92	195.072	1
276.654	2	1	1375.94	195.015	1
276.688	2	1	1375.96	194.883	1
276.721	2	1	1376.02	194.604	1
276.754	2	1	1376.01	194.628	1
276.788	2	1	1375.81	194.869	1
276.821	2	1	1375.79	194.982	1
276.855	2	1	1375.82	194.894	1
276.888	2	1	1375.84	194.835	1
276.922	2	1	1375.95	195.377	1
276.955	2	1	1375.9	195.413	1
276.989	2	1	1375.99	195.195	1
277.022	2	1	1376.07	195.212	1
277.056	2	1	1375.9	195.018	1
277.089	2	1	1375.84	194.993	1
277.123	2	1	1375.85	194.627	1
277.156	2	1	1375.79	194.579	1
277.19	2	1	1375.79	194.432	1
277.223	2	1	1375.79	194.578	1
277.257	2	1	1375.78	194.53	1
277.29	2	1	1375.72	194.607	1
277.324	2	1	1375.72	194.478	1
277.357	2	1	1375.7	194.459	1
277.391	2	1	1375.72	194.521	1
277.424	2	1	1375.74	194.395	1
277.458	2	1	1375.72	194.255	1
277.491	2	1	1375.78	194.327	1
277.525	2	1	1375.76	194.281	1
277.558	2	1	1375.79	194.298	1
277.592	2	1	1375.82	194.197	1
277.625	2	1	1375.77	194.275	1
277.659	2	1	1375.72	194.486	1
277.692	2	1	1375.71	194.27	1
277.726	2	1	1375.76	194.327	1
277.759	2	1	1375.9	194.331	1
277.793	2	1	1376.17	194.45	1
277.826	2	1	1376.7	194.045	1
277.86	2	1	1377.38	193.787	1
277.893	2	1	1377.84	193.664	1
277.927	2	1	1378.15	193.675	1
277.96	2	1	1378.1	194.573	1
277.994	2	1	1378.15	195.307	1
278.027	2	1	1378.55	195.742	1
278.061	2	1	1378.62	196.071	1
278.094	2	1	1378.43	196.1	1
278.128	2	1	1378.37	196.08	1
278.161	2	1	1378.41	195.476	1
278.195	2	1	1378.31	194.893	1
278.228	2	1	1378.3	194.534	1
278.262	2	1	1378.41	193.979	1
278.295	2	1	1378.38	193.824	1
278.329	2	1	1378.41	193.611	1
278.362	2	1	1378.45	193.139	1
278.396	2	1	1378.19	193.154	1
278.429	2	1	1378.03	193.115	1
278.463	2	1	1377.87	193.456	1
278.496	2	1	1377.39	193.478	1
278.53	2	1	1376.99	193.752	1
278.563	2	1	1376.86	193.727	1
278.597	2	1	1376.78	193.967	1
278.63	2	1	1376.76	194.072	1
278.664	2	1	1376.93	194.041	1
278.697	2	1	1377.12	193.751	1
278.731	2	1	1377.36	193.704	1
278.764	2	1	1377.47	193.923	1
278.798	2	1	1377.42	193.74	1
278.831	2	1	1377.38	194.031	1
278.865	2	1	1377.26	194.492	1
278.898	2	1	1377.34	194.714	1
278.932	2	1	1377.12	195.289	1
278.965	2	1	1376.99	195.891	1
278.999	2	1	1377.12	196.006	1
279.032	2	1	1377.52	195.229	1
279.066	2	1	1377.64	195.202	1
279.099	2	1	1377.63	195.06	1
279.133	2	1	1377.61	195.263	1
279.166	2	1	1377.45	195.702	1
279.199	2	1	1377.49	195.697	1
279.233	2	1	1377.79	195.465	1
279.266	2	1	1378.26	195.257	1
279.3	2	1	1378.46	195.936	1
279.333	2	1	1379.18	195.771	1
279.367	2	1	1379.77	195.526	1
279.4	2	1	1379.69	195.699	1
279.434	2	1	1379.74	195.464	1
279.467	2	1	1379.79	194.781	1
279.501	2	1	1379.63	194.551	1
279.534	2	1	1379.36	194.806	1
279.568	2	1	1379.2	194.643	1
279.601	2	1	1379.11	194.559	1
279.635	2	1	1379.02	194.364	1
279.668	2	1	1378.99	194.404	1
279.702	2	1	1378.99	194.477	1
279.735	2	1	1378.9	194.525	1
279.769	2	1	1378.81	194.434	1
279.802	2	1	1378.76	194.48	1
279.836	2	1	1378.9	194.421	1
279.869	2	1	1378.75	194.336	1
279.903	2	1	1378.73	194.269	1
279.936	2	1	1378.84	194.283	1
279.97	2	1	1378.89	194.478	1
280.003	2	1	1378.84	194.328	1
280.037	2	1	1378.85	194.348	1
280.07	2	1	1378.79	194.3	1
280.104	2	1	1378.81	194.32	1
280.137	2	1	1378.75	194.34	1
280.171	2	1	1378.71	194.379	1
280.204	2	1	1378.98	193.834	1
280.238	2	1	1379.06	193.806	1
280.271	2	1	1378.96	193.914	1
280.305	2	1	1378.75	194.395	1
280.338	2	1	1378.7	194.27	1
280.372	2	1	1378.91	193.794	1
280.405	2	1	1379.03	193.99	1
280.439	2	1	1378.93	193.967	1
280.472	2	1	1378.7	194.281	1
280.506	2	1	1378.76	193.771	1
280.539	2	1	1378.69	194.143	1
280.573	2	1	1378.79	194.12	1
280.606	2	1	1378.85	194.262	1
280.64	2	1	1378.67	194.426	1
280.673	2	1	1378.74	194.527	1
280.707	2	1	1378.91	194.661	1
280.74	2	1	1378.75	194.614	1
280.774	2	1	1378.6	194.563	1
280.807	2	1	1378.66	194.48	1
280.841	2	1	1378.73	194.658	1
280.874	2	1	1378.55	194.609	1
280.908	2	1	1378.73	194.233	1
280.941	2	1	1378.59	194.428	1
280.975	2	1	1378.67	194.186	1
281.008	2	1	1378.72	194.066	1
281.042	2	1	1378.71	193.992	1
281.075	2	1	1378.44	194.365	1
281.109	2	1	1378.4	194.449	1
281.142	2	1	1378.4	194.472	1
281.176	2	1	1378.4	194.474	1
281.209	2	1	1378.39	194.34	1
281.243	2	1	1378.35	194.477	1
281.276	2	1	1378.43	194.508	1
281.31	2	1	1378.3	194.33	1
281.343	2	1	1378.41	194.413	1
281.377	2	1	1378.53	194.037	1
281.41	2	1	1378.38	194.192	1
