Time (sec)	Arena	Track	Current Accel (mm/s^2)	
30.0099	1	1	0.810147	
30.0434	1	1	10.65	
30.0769	1	1	6.12329	
30.1104	1	1	3.79297	
30.1439	1	1	16.4776	
30.1774	1	1	28.506	
30.2109	1	1	31.0846	
30.2444	1	1	31.0738	
30.2779	1	1	35.7797	
30.3114	1	1	36.344	
30.3449	1	1	38.3785	
30.3784	1	1	29.8142	
30.4118	1	1	30.6385	
30.4453	1	1	33.6748	
30.4788	1	1	31.9273	
30.5123	1	1	29.0869	
30.5458	1	1	48.0793	
30.5793	1	1	65.7199	
30.6128	1	1	69.746	
30.6463	1	1	82.5274	
30.6798	1	1	78.0711	
30.7133	1	1	58.5959	
30.7468	1	1	47.044	
30.7803	1	1	42.5692	
30.8138	1	1	24.1699	
30.8473	1	1	4.74347	
30.8807	1	1	15.352	
30.9142	1	1	38.7812	
30.9477	1	1	24.8405	
30.9812	1	1	23.4725	
31.0147	1	1	14.4886	
31.0482	1	1	15.9487	
31.1487	1	1	16.9277	
31.1822	1	1	31.5832	
31.2157	1	1	39.8478	
31.2492	1	1	44.0385	
31.2827	1	1	52.6196	
31.3162	1	1	49.3271	
31.3497	1	1	59.5393	
31.3831	1	1	56.2776	
31.4166	1	1	11.5764	
31.4501	1	1	47.6739	
31.4836	1	1	74.9093	
31.5171	1	1	88.8692	
31.5506	1	1	119.712	
31.5841	1	1	118.724	
31.6176	1	1	122.367	
31.6511	1	1	123.204	
31.6846	1	1	118.49	
31.7181	1	1	95.2534	
31.7516	1	1	78.1354	
31.7851	1	1	54.7064	
31.8186	1	1	21.4781	
31.8521	1	1	11.4604	
31.8855	1	1	1.33976	
31.919	1	1	12.1159	
31.9525	1	1	9.21447	
31.986	1	1	11.0369	
32.0195	1	1	21.4583	
32.053	1	1	18.1284	
32.0865	1	1	20.8721	
32.12	1	1	14.116	
32.1535	1	1	11.7195	
32.187	1	1	11.1285	
32.2205	1	1	2.82603	
32.254	1	1	1.538	
32.2875	1	1	13.3644	
32.321	1	1	18.4783	
32.3545	1	1	18.9411	
32.3879	1	1	18.9477	
32.4214	1	1	23.3861	
32.4549	1	1	15.3013	
32.4884	1	1	21.5235	
32.5219	1	1	22.0873	
32.5554	1	1	10.2518	
32.5889	1	1	15.7968	
32.6224	1	1	13.8007	
32.6559	1	1	4.5298	
32.6894	1	1	17.4847	
32.7229	1	1	49.614	
32.7564	1	1	78.1975	
32.7899	1	1	105.602	
32.8234	1	1	122.895	
32.8568	1	1	146.238	
32.8903	1	1	161.392	
32.9238	1	1	169.858	
33.0243	1	1	200.053	
33.0578	1	1	204.387	
33.0913	1	1	162.91	
33.1248	1	1	177.58	
33.1583	1	1	149.149	
33.1918	1	1	102.754	
33.2253	1	1	43.0416	
33.2588	1	1	19.143	
33.2923	1	1	66.42	
33.3258	1	1	117.856	
33.3592	1	1	135.816	
33.3927	1	1	148.105	
33.4262	1	1	198.866	
33.4597	1	1	203.916	
33.4932	1	1	189.066	
33.5267	1	1	177.937	
33.5602	1	1	157.952	
33.5937	1	1	147.357	
33.6272	1	1	117.219	
33.6607	1	1	105.099	
33.6942	1	1	72.0496	
33.7277	1	1	48.1917	
33.7612	1	1	27.6618	
33.7947	1	1	4.37665	
33.8282	1	1	25.0345	
33.8616	1	1	54.0387	
33.8951	1	1	75.4955	
33.9286	1	1	86.6519	
33.9621	1	1	101.661	
33.9956	1	1	116.175	
34.0291	1	1	123.071	
34.0626	1	1	142.222	
34.0961	1	1	115.696	
34.1296	1	1	117.91	
34.1631	1	1	95.6215	
34.1966	1	1	68.7229	
34.2301	1	1	29.0193	
34.2636	1	1	28.4587	
34.2971	1	1	46.3776	
34.3306	1	1	64.3945	
34.364	1	1	70.3978	
34.3975	1	1	63.2257	
34.431	1	1	61.1603	
34.4645	1	1	62.2762	
34.498	1	1	49.9021	
34.5315	1	1	60.7451	
34.565	1	1	67.7826	
34.5985	1	1	66.8652	
34.632	1	1	56.1748	
34.6655	1	1	23.5696	
34.699	1	1	16.0019	
34.7325	1	1	20.9629	
34.766	1	1	24.055	
34.7995	1	1	37.7973	
34.833	1	1	50.3396	
34.8664	1	1	48.9587	
34.8999	1	1	39.5994	
34.9334	1	1	32.3705	
34.9669	1	1	7.40007	
35.0004	1	1	5.07714	
35.0339	1	1	12.3891	
35.0674	1	1	6.08173	
35.1009	1	1	2.04031	
35.1344	1	1	1.82747	
35.1679	1	1	3.51078	
35.2014	1	1	10.6227	
35.2349	1	1	25.1041	
35.2684	1	1	39.316	
35.3019	1	1	47.6285	
35.3353	1	1	59.0335	
35.3688	1	1	52.9139	
35.4023	1	1	50.506	
35.4358	1	1	58.9818	
35.4693	1	1	59.0819	
35.5028	1	1	51.42	
35.5363	1	1	33.4369	
35.5698	1	1	10.0715	
35.6033	1	1	26.9131	
35.6368	1	1	54.1163	
35.6703	1	1	40.338	
35.7038	1	1	27.9291	
35.7373	1	1	14.4326	
35.7708	1	1	7.27943	
35.8043	1	1	13.7987	
35.8377	1	1	15.232	
35.8712	1	1	18.217	
35.9047	1	1	20.8017	
35.9382	1	1	13.9532	
35.9717	1	1	33.6656	
36.0052	1	1	50.1693	
36.0387	1	1	64.8258	
36.0722	1	1	41.1369	
36.1057	1	1	29.809	
36.1392	1	1	17.9254	
36.1727	1	1	0.311956	
36.2062	1	1	4.44211	
36.2397	1	1	7.41746	
36.2732	1	1	3.58963	
36.3067	1	1	23.0554	
36.3401	1	1	68.9318	
36.3736	1	1	61.1242	
36.4071	1	1	62.7649	
36.4406	1	1	60.0348	
36.4741	1	1	33.2099	
36.5076	1	1	1.79196	
36.5411	1	1	25.9701	
36.5746	1	1	51.0205	
36.6081	1	1	66.9446	
36.6416	1	1	45.8383	
36.6751	1	1	45.4104	
36.7086	1	1	34.0998	
36.7421	1	1	40.5654	
36.7756	1	1	23.6866	
36.8091	1	1	2.0492	
36.8425	1	1	10.8257	
36.876	1	1	33.7996	
36.9095	1	1	58.1463	
36.943	1	1	77.6339	
36.9765	1	1	90.4288	
37.01	1	1	103.408	
37.0435	1	1	90.5306	
37.077	1	1	86.346	
37.1105	1	1	61.034	
37.144	1	1	46.3385	
37.1775	1	1	55.4104	
37.211	1	1	56.4734	
37.2445	1	1	82.7618	
37.278	1	1	101.971	
37.3114	1	1	101.197	
37.3449	1	1	114.867	
37.3784	1	1	131.791	
37.4119	1	1	121.069	
37.4454	1	1	100.567	
37.4789	1	1	72.6509	
37.5124	1	1	39.9017	
37.5459	1	1	16.0277	
37.5794	1	1	56.2569	
37.6129	1	1	97.7741	
37.6464	1	1	171.142	
37.6799	1	1	217.939	
37.7134	1	1	232.883	
37.7469	1	1	271.369	
37.7804	1	1	264.109	
37.8138	1	1	251.525	
37.8473	1	1	228.337	
37.8808	1	1	200.021	
37.9143	1	1	171.343	
37.9478	1	1	157.364	
37.9813	1	1	119.346	
38.0148	1	1	91.668	
38.0483	1	1	35.1359	
38.0818	1	1	1.04673	
38.1153	1	1	11.8918	
38.1488	1	1	35.9334	
38.1823	1	1	14.6416	
38.2158	1	1	21.3453	
38.2493	1	1	18.8012	
38.2828	1	1	25.0222	
38.3162	1	1	23.2285	
38.3497	1	1	28.4288	
38.3832	1	1	56.6665	
38.4167	1	1	42.643	
38.4502	1	1	0.162687	
38.4837	1	1	17.0359	
38.5172	1	1	10.1876	
38.5507	1	1	1.45731	
38.5842	1	1	10.3358	
38.6177	1	1	21.5846	
38.6512	1	1	22.2316	
38.6847	1	1	13.1821	
38.7182	1	1	9.40442	
38.7517	1	1	13.668	
38.7851	1	1	17.9342	
38.8186	1	1	22.5142	
38.8521	1	1	37.6547	
38.8856	1	1	47.1533	
38.9191	1	1	16.6542	
38.9526	1	1	3.30253	
38.9861	1	1	11.596	
39.0196	1	1	40.6706	
39.0531	1	1	48.7	
39.0866	1	1	48.7342	
39.1201	1	1	30.1385	
39.1536	1	1	30.0161	
39.1871	1	1	56.6715	
39.2206	1	1	50.5352	
39.2541	1	1	41.0284	
39.2875	1	1	53.8308	
39.321	1	1	35.5221	
39.3545	1	1	22.7564	
39.388	1	1	19.0321	
39.4215	1	1	17.6875	
39.455	1	1	21.2726	
39.4885	1	1	31.6901	
39.522	1	1	34.3237	
39.5555	1	1	31.253	
39.589	1	1	21.5296	
39.6225	1	1	11.862	
39.656	1	1	11.8469	
39.6895	1	1	8.75364	
39.723	1	1	7.6854	
39.7565	1	1	0.125214	
39.7899	1	1	14.36	
39.8234	1	1	33.0605	
39.8569	1	1	62.2661	
39.8904	1	1	91.117	
39.9239	1	1	115.524	
39.9574	1	1	123.816	
39.9909	1	1	123.377	
40.0244	1	1	123.245	
40.0579	1	1	129.303	
40.0914	1	1	125.48	
40.1249	1	1	75.1935	
40.1584	1	1	62.9946	
40.1919	1	1	29.291	
40.2254	1	1	8.58002	
40.2589	1	1	2.97655	
40.2923	1	1	2.29775	
40.3258	1	1	0.484676	
40.3593	1	1	4.89995	
40.3928	1	1	9.51691	
40.4263	1	1	14.4946	
40.4598	1	1	13.3933	
40.4933	1	1	0.172464	
40.5268	1	1	7.5328	
40.5603	1	1	7.35067	
40.5938	1	1	0.312139	
40.6273	1	1	1.14597	
40.6608	1	1	24.4401	
40.6943	1	1	46.717	
40.7278	1	1	74.5882	
40.7612	1	1	77.2883	
40.7947	1	1	71.3272	
40.8282	1	1	61.1178	
40.8617	1	1	56.2176	
40.8952	1	1	53.6431	
40.9287	1	1	16.769	
40.9622	1	1	5.1402	
40.9957	1	1	30.2471	
41.0292	1	1	40.8261	
41.0627	1	1	57.1745	
41.0962	1	1	48.6332	
41.1297	1	1	61.0589	
41.1632	1	1	65.6676	
41.1967	1	1	73.1902	
41.2302	1	1	65.5937	
41.2636	1	1	54.7322	
41.2971	1	1	53.1179	
41.3306	1	1	47.2821	
41.3641	1	1	34.071	
41.3976	1	1	35.7762	
41.4311	1	1	28.4635	
41.4646	1	1	41.658	
41.4981	1	1	81.5181	
41.5316	1	1	84.717	
41.5651	1	1	82.1064	
41.5986	1	1	62.4339	
41.6321	1	1	53.1016	
41.6656	1	1	54.1342	
41.6991	1	1	42.1777	
41.7326	1	1	26.1285	
41.766	1	1	23.3811	
41.7995	1	1	10.2973	
41.833	1	1	20.3357	
41.8665	1	1	80.946	
41.9	1	1	141.737	
41.9335	1	1	174.838	
41.967	1	1	170.711	
42.0005	1	1	150.526	
42.034	1	1	126.385	
42.0675	1	1	109.248	
42.101	1	1	97.6385	
42.1345	1	1	87.9268	
42.168	1	1	79.8052	
42.2015	1	1	73.7417	
42.235	1	1	48.9157	
42.2684	1	1	6.60618	
42.3019	1	1	17.8054	
42.3354	1	1	37.6984	
42.3689	1	1	32.8787	
42.4024	1	1	18.7762	
42.4359	1	1	0.0660539	
42.4694	1	1	15.3656	
42.5029	1	1	14.6479	
42.5364	1	1	3.59308	
42.5699	1	1	4.83452	
42.6034	1	1	12.5825	
42.6369	1	1	30.3844	
42.6704	1	1	38.6608	
42.7039	1	1	61.8072	
42.7374	1	1	66.5142	
42.7708	1	1	63.7511	
42.8043	1	1	74.8741	
42.8378	1	1	78.1881	
42.8713	1	1	87.4429	
42.9048	1	1	95.5076	
42.9383	1	1	99.7589	
42.9718	1	1	98.1306	
43.0053	1	1	92.8344	
43.0388	1	1	86.2542	
43.0723	1	1	86.8655	
43.1058	1	1	87.2708	
43.1393	1	1	96.7126	
43.1728	1	1	101.242	
43.2063	1	1	79.2334	
43.2397	1	1	70.5236	
43.2732	1	1	38.2979	
43.3067	1	1	5.74684	
43.3402	1	1	15.0452	
43.3737	1	1	23.1417	
43.4072	1	1	51.5209	
43.4407	1	1	80.5407	
43.4742	1	1	101.264	
43.5077	1	1	144.335	
43.5412	1	1	183.863	
43.5747	1	1	199.628	
43.6082	1	1	191.099	
43.6417	1	1	191.314	
43.6752	1	1	179.109	
43.7087	1	1	148.565	
43.7421	1	1	123.173	
43.7756	1	1	105.657	
43.8091	1	1	80.8766	
43.8426	1	1	46.7747	
43.8761	1	1	21.5417	
43.9096	1	1	0.912097	
43.9431	1	1	29.0247	
43.9766	1	1	45.2484	
44.0101	1	1	45.2896	
44.0436	1	1	44.0352	
44.0771	1	1	68.4298	
44.1106	1	1	73.9429	
44.1441	1	1	66.7953	
44.1776	1	1	71.2517	
44.2111	1	1	84.0799	
44.2445	1	1	65.1393	
44.278	1	1	50.6842	
44.3115	1	1	60.0446	
44.345	1	1	29.6898	
44.3785	1	1	10.6318	
44.412	1	1	11.2604	
44.4455	1	1	17.1723	
44.479	1	1	4.17786	
44.5125	1	1	33.4313	
44.546	1	1	48.2318	
44.5795	1	1	60.1919	
44.613	1	1	95.4268	
44.6465	1	1	95.5265	
44.68	1	1	91.586	
44.7135	1	1	100.868	
44.7469	1	1	78.0943	
44.7804	1	1	50.1967	
