Time (sec)	Arena	Track	Current Speed (mm/sec)	
37.8473	1	1	23.9609
37.8808	1	1	13.4696
37.9143	1	1	9.03483
37.9478	1	1	0
37.9813	1	1	8.23546
38.0148	1	1	12.2715
38.0483	1	1	15.2503
38.0818	1	1	16.9692
38.1153	1	1	14.361
38.1488	1	1	9.47223
38.1823	1	1	3.86173
38.2158	1	1	3.90382
38.2493	1	1	9.83901
38.2828	1	1	13.0489
38.3162	1	1	13.8144
38.3497	1	1	14.4423
38.3832	1	1	14.1202
38.4167	1	1	20.8506
38.4502	1	1	22.8068
38.4837	1	1	27.0261
38.5172	1	1	23.697
38.5507	1	1	20.8984
38.5842	1	1	26.6371
38.6177	1	1	21.0429
38.6512	1	1	9.90439
38.6847	1	1	6.2019
38.7182	1	1	9.71982
38.7517	1	1	15.0281
38.7851	1	1	18.2743
38.8186	1	1	29.5258
38.8521	1	1	31.7421
38.8856	1	1	32.3242
38.9191	1	1	27.4768
38.9526	1	1	26.3918
38.9861	1	1	33.8453
39.0196	1	1	30.0918
39.0531	1	1	25.0386
39.0866	1	1	25.1538
39.1201	1	1	16.4135
39.1536	1	1	13.7007
39.1871	1	1	13.6137
39.2206	1	1	13.1794
39.2541	1	1	12.1686
39.2875	1	1	12.7369
39.321	1	1	15.3635
39.3545	1	1	14.3279
39.388	1	1	11.0681
39.4215	1	1	9.78088
39.455	1	1	8.54856
39.4885	1	1	3.51827
39.522	1	1	2.13653
39.5555	1	1	4.55454
39.589	1	1	5.96436
39.6225	1	1	6.0705
39.656	1	1	3.61867
39.6895	1	1	0
39.723	1	1	1.56811
39.7565	1	1	1.76666
39.7899	1	1	2.41486
39.8234	1	1	5.0133
39.8569	1	1	3.78704
39.8904	1	1	0
39.9239	1	1	5.22545
39.9574	1	1	4.50422
39.9909	1	1	11.7359
40.0244	1	1	19.3582
40.0579	1	1	28.6445
40.0914	1	1	36.6214
40.1249	1	1	47.9991
40.1584	1	1	51.5302
40.1919	1	1	52.002
40.2254	1	1	54.5476
40.2589	1	1	55.7561
40.2923	1	1	50.4325
40.3258	1	1	35.447
40.3593	1	1	29.8228
40.3928	1	1	23.5086
40.4263	1	1	22.8067
40.4598	1	1	29.8408
40.4933	1	1	37.5449
40.5268	1	1	47.8043
40.5603	1	1	49.5608
40.5938	1	1	48.1769
40.6273	1	1	48.7219
40.6608	1	1	50.373
